url,expected_label,evasion_technique,notes
https://krungthai-online-banking.com/verify,phishing,free_tls_legit_looking,Online banking subdomain-style phish
https://my-scb-account.com/signin,phishing,free_tls_legit_looking,My-SCB account phishing with HTTPS
https://kasikorn-secure-login.com/auth,phishing,free_tls_legit_looking,Kasikorn secure login phish
https://ktb-internet-banking.com/login,phishing,free_tls_legit_looking,KTB internet banking phish
https://truemoney-wallet-secure.com/account,phishing,free_tls_legit_looking,TrueMoney wallet with security keyword
https://obec-student-portal.com/login,phishing,free_tls_legit_looking,OBEC student portal phish
https://th-government-portal.com/signin,phishing,free_tls_legit_looking,Generic Thai government portal phish
https://moph-health-verify.com/account,phishing,free_tls_legit_looking,Ministry of health verification phish
http://0x5f0a0b01/krungthai/login,phishing,ip_camouflage,Hex IP address notation (0x5f0a0b01) bypasses dotted-decimal IP check
http://0x4014d2ab/login,phishing,ip_camouflage,Another hex IP for phishing host
http://0x7f000001/verify,phishing,ip_camouflage,Hex loopback address in phishing URL
http://0337.012.013.001/account,phishing,ip_camouflage,Octal IP address notation
http://0177.0000.0000.0001/login,phishing,ip_camouflage,Octal loopback IP
http://0x41414141/signin,phishing,ip_camouflage,Hex IP with repeated pattern
http://010.020.030.040/verify,phishing,ip_camouflage,Octal quad IP notation
http://0x80000001/account,phishing,ip_camouflage,High-bit hex IP
http://0100.0200.0300.0100/login,phishing,ip_camouflage,Octal quad with larger values
http://0xdeadbeef/secure,phishing,ip_camouflage,Classic deadbeef hex IP in phishing URL
http://0x7f000001/login,phishing,encoded_ip_host,Hex IP literal (127.0.0.1) bypasses dotted-decimal IP regex
http://0xC0A80001/verify,phishing,encoded_ip_host,Hex IP literal of 192.168.0.1 with credential keyword
http://0xCB0071AD/account,phishing,encoded_ip_host,Hex IP literal hosting a fake account page
http://0x97D5A8C4/signin,phishing,encoded_ip_host,Hex IP literal with signin path
http://0xAB12CD34/secure,phishing,encoded_ip_host,Hex IP literal with secure keyword
http://0177.0000.0000.0001/login,phishing,encoded_ip_host,Octal IP literal (127.0.0.1) for login harvest
http://0300.0250.0000.0001/verify,phishing,encoded_ip_host,Octal IP literal of 192.168.0.1
http://0012.0064.0001.0005/account,phishing,encoded_ip_host,Octal IP literal hosting account phishing
http://0177.0001.0002.0003/wallet,phishing,encoded_ip_host,Octal IP literal targeting wallet credentials
http://0010.0020.0030.0040/reset,phishing,encoded_ip_host,Octal IP literal with password-reset bait
